,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,dim64,cluster
1,0.47204435,0.8133225000000001,1.0325193000000001,0.75476915,0.75112724,0.0,0.0,0.0,0.0,0.18624656,0.0,0.7657111,1.1323493,0.46786737,0.2886989,0.12839612,0.0,0.0,0.0,0.33667290000000005,0.18077233,0.09350872,0.531934,0.0,0.07378714,0.48688809999999993,0.56836015,0.0,0.0,0.4316382,0.0,0.07155273,0.0,0.0,0.27005664,0.5028554000000001,0.0,0.0,0.111292616,0.90117127,0.12537117,0.35345740000000003,0.0,0.41300184,0.6993012,0.0,0.7988764,0.0,0.0,0.0,0.0,0.4214893,0.0,0.0,0.33042353,0.0,0.0,0.6320704,0.0,0.0,0.5133412,0.0,0.0,0.13425471,3
2,0.43205506,0.77710384,0.8441806999999999,0.7056443,0.52589977,0.3671841,0.0,0.0,0.0,0.2897792,0.0,1.0881101,0.8561645,0.10618769,0.0,0.23721036,0.0,0.0,0.0,0.02824942,0.49996674,0.11021483,0.42078972,0.00239335,0.0,0.6882995,0.27498162,0.0,0.0,0.47942049999999997,0.0,0.0,0.0,0.34799892,0.6553858,0.6174982,0.0,0.0,0.0,0.7766689,0.0,0.0,0.0,0.07925813,0.79202586,0.0,0.67014545,0.0,0.0,0.0,0.0,0.42860067,0.08374324400000001,0.0,0.45483708,0.0,0.0,0.38731357,0.010862686000000002,0.0,0.47260278,0.0,0.0,0.0,12
3,0.0,0.0,0.31201512,0.0,0.22788598,0.0,0.0,0.0,0.0,0.0,0.0,1.6925696,0.0,0.0,0.15503079,0.9014291999999999,0.0,0.0,0.0,0.0,2.4561439999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.11637566,0.0,0.0,0.0,0.0,0.0,1.0026496999999999,1.7152536,1.818171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010165971,0.057137404,0.0,0.0,0.09311986,0.0,1.3454449,0.21331146,0.0,0.0,0.0,0.0,0.00785996,0.0,0.0,0.0,0.0,0.0,0.0,-1
4,0.48692250000000004,0.564413,0.8308983,0.5946591,0.5503266,0.0,0.0,0.0,0.0,0.031729013,0.0,0.6270319000000001,0.8878809000000001,0.37229782,0.5145951,0.0,0.0,0.06175121,0.0,0.62351817,0.058346264,0.2616524,0.5939518,0.0,0.20884493,0.35854155,0.72480005,0.0,0.0,0.40214914,0.0,0.2907627,0.0,0.014133632,0.21161535,0.4234617,0.0,0.23723146,0.40242654,0.81202924,0.21310323,0.48942012,0.0,0.33629936,0.48397934,0.0,0.5368746,0.0,0.0,0.0,0.3338719,0.37344554,0.0,0.0,0.39462420000000004,0.0,0.0,0.65257686,0.22269103,0.0,0.49543434,0.0,0.0,0.3577697,6
5,0.33547264,0.6761324000000001,0.7331366,0.73326045,0.7353374,0.073658824,0.0,0.0,0.08515748,0.0,0.0,0.25400037,0.8845502000000001,0.34047592,0.6161992,0.0,0.09057528,0.0,0.0,0.67035747,0.0,0.17238091,0.747967,0.14943886,0.07073034,0.2986635,0.5762448,0.0,0.0,0.15121454,0.0,0.15952583,0.0,0.0,0.0,0.035185166000000004,0.0,0.09190108599999999,0.2967794,0.97622854,0.15115054,0.5644675,0.0,0.22691482,0.352104,0.0,0.64628345,0.0,0.0,0.0,0.4110775,0.19597822,0.0,0.0,0.6084191,0.0,0.0,0.65570736,0.1434601,0.0,0.53901,0.0,0.0,0.54275525,5
6,0.0,0.88989687,0.46138528,0.3999718,0.545249,0.77041864,0.0,0.0,0.13107653,0.0,0.0,0.07509113,0.6589710999999999,0.33111846,0.98412234,0.0,0.0,0.11157284,0.0,0.37904906,0.0,0.57867914,0.6700095,0.32371396,0.11916442,0.33563435,0.53316724,0.0,0.0,0.0,0.0,0.10682116400000001,0.0,0.0,0.0,0.11150624,0.0,0.020115439,0.27611554,0.91083044,0.0,0.5042840000000001,0.0,0.0,0.1119163,0.0,0.5830218,0.0,0.0,0.15807024,0.9722111999999999,0.068309404,0.0,0.0,0.86028534,0.0,0.0,0.72393733,0.0,0.0,0.34510976,0.0,0.0,0.773764,-1
7,0.0,0.31472653,0.30422,0.0,0.0,0.34062309999999996,0.0,0.38907078,0.0,0.0,0.0,0.04265763,0.0,0.7905107,0.43272669999999996,0.0,1.0106003000000001,1.2072916,0.0,1.2667851,0.0,0.9617800999999999,0.0,0.0,1.4517485,0.10133660000000001,1.3211393,0.0,0.0,0.16171122,0.0,0.73959297,0.0,0.0,0.0,0.069300815,0.0,0.15983229999999998,0.8445090000000001,0.084496655,0.9199368,1.5571008,0.0,1.3106935,0.0,0.0,0.0,0.0,0.0,0.0,0.9045268,0.0,0.0,0.40684062,0.46063763,0.0,0.0,0.03820853,0.27157646,0.0,0.0,0.0,0.0,0.38128504,7
8,0.14094797,0.7347974,0.47088640000000004,0.64352965,0.63215214,0.5080625,0.14497094,0.0,0.026835200000000003,0.0,0.0,0.13950351,0.9096886000000001,0.38817912,0.75724185,0.0,0.0,0.0,0.0,0.58993363,0.0,0.39154136,0.8106951,0.28584109999999996,0.030105859,0.21984397,0.49029613,0.0,0.0,0.053268395,0.0,0.08204714,0.0,0.0,0.0,0.059560545,0.0,0.03406996,0.27049702,1.0431039,0.0,0.42544425,0.0,0.02498144,0.2873642,0.0,0.62000614,0.0,0.0,0.0,0.6779904999999999,0.20793349,0.0,0.0,0.69123465,0.0,0.0,0.6548716,0.079037495,0.0,0.47996628,0.0,0.0,0.6122025999999999,4
9,0.0,0.4504067,0.51814604,0.0,0.09967092,0.6711632,0.22887745,0.08017982,0.0,0.0,0.0,0.09244359,0.0,1.0407940999999998,1.1179733,0.0,0.44145778,0.8154503000000001,0.0,0.97009856,0.0,0.79848564,0.10463294,0.0,0.9266908000000001,0.031542357,1.0261809000000002,0.0,0.0,0.26727286,0.0,0.3048099,0.0,0.0,0.0,0.27065232,0.0,0.23239848,0.9160992,0.3123025,0.42787436,1.1419544,0.0,0.6898711999999999,0.0,0.0,0.0,0.0,0.13825639999999997,0.0,0.8454623,0.32481277,0.0,0.17571692,0.4815973,0.0,0.0,0.08365835,0.0,0.0,0.0,0.0,0.0,0.5470074,1
10,0.36675364,0.6143554,0.8739620000000001,0.592541,0.6794284,0.19122952,0.0,0.0,0.0,0.2581817,0.0,1.0808133999999998,0.9096871999999999,0.33073854,0.0,0.30047366,0.0,0.0,0.0,0.07826267,0.44587672,0.26798534,0.5369154,0.0,0.029459834,0.5958628,0.48108816,0.0,0.0,0.5418655,0.0,0.0,0.0,0.21682401,0.49214053,0.6931685000000001,0.0,0.0,0.08823083,0.69124436,0.0,0.13123798,0.0,0.21386865,0.63479125,0.0,0.76575977,0.0,0.0,0.0,0.0,0.52391464,0.0,0.0,0.41752505,0.0,0.0,0.5038821,0.0,0.0,0.45457345,0.0,0.0,0.0,0
